title,url,issuer_name,issuer_level,region_code,category,application_start,application_end,amount,subsidy_rate,published_at,fetched_at
新規事業　事業承継を契機とした「第二創業」支援事業「ツギノツギ」事業開発プログラム（第一期）の公募開始！,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082505,東京都,prefecture,13,other,,,,,2025-08-25T01:37:00+00:00,2025-08-27T09:04:18.392546+00:00
世界に羽ばたくアニメーター等の育成支援事業 「現代版トキワ荘」起業家育成プログラム第1期生を募集します,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082205,東京都,prefecture,13,other,,,,,2025-08-22T02:03:00+00:00,2025-08-27T09:04:18.392721+00:00
全ての業種を対象に中小企業における設備（機械設備、ソフトウェア）の導入を支援します！ 第10回（令和7年度第2回）躍進的な事業推進のための設備投資支援事業募集開始,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082206,東京都,prefecture,13,other,,,,,2025-08-22T02:02:00+00:00,2025-08-27T09:04:18.392757+00:00
民間医療機関向け補助金概要|事業主の方へ|東京都保健医療局,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou,東京都保健医療局,agency,13,medical,,,,,,2025-08-27T09:04:24.655086+00:00
助成・補助金,https://www.metro.tokyo.lg.jp/purpose/grant?utm_source=search&utm_medium=internal&utm_id=sidebar,東京都保健医療局,agency,13,other,,,,,,2025-08-27T09:04:24.659509+00:00
助成・給付金・融資,https://www.metro.tokyo.lg.jp/search?keyword=&category=163887,東京都保健医療局,agency,13,other,,,,,,2025-08-27T09:04:24.660021+00:00
助成・給付金・融資,https://www.my.metro.tokyo.lg.jp/business/search/?category=188508&utm_source=search&utm_medium=internal&utm_id=sidebar,東京都保健医療局,agency,13,other,,,,,,2025-08-27T09:04:24.660821+00:00
医療助成,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/josei,東京都保健医療局,agency,13,medical,,,,,,2025-08-27T09:04:24.662603+00:00
大気汚染医療費助成制度のご案内,https://www.hokeniryo.metro.tokyo.lg.jp/kankyo/kankyo-eisei,東京都保健医療局,agency,13,medical,,,,,,2025-08-27T09:04:24.662874+00:00
東京都医療機関等物価高騰緊急対策支援金（令和5年度下半期分）,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/iryo-bukka2,東京都保健医療局,agency,13,medical,,,,,,2025-08-27T09:04:24.663250+00:00
東京都医療機関等物価高騰緊急対策支援金（令和７年度）,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/iryo-bukka,東京都保健医療局,agency,13,medical,,,,,,2025-08-27T09:04:24.663278+00:00
民間医療機関向け補助金 Q&A,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/qa,東京都保健医療局,agency,13,medical,,,,,,2025-08-27T09:04:24.663347+00:00
民間医療機関向け補助金 お問合せ一覧,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/otoiawase,東京都保健医療局,agency,13,medical,,,,,,2025-08-27T09:04:24.663373+00:00
令和７年度医療機関診療情報サイバーセキュリティ対策支援事業,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/cybersecurity,東京都保健医療局,agency,13,medical,,,,,,2025-08-27T09:04:24.663673+00:00
令和7年度医療機関診療情報デジタル導入支援事業,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/digital_dounyu,東京都保健医療局,agency,13,medical,,,,,,2025-08-27T09:04:24.663712+00:00
東京都医療機関等物価高騰緊急対策支援金（令和6年度）,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/iryo-bukka3,東京都保健医療局,agency,13,medical,,,,,,2025-08-27T09:04:24.663765+00:00
令和7年度医療DX人材育成支援事業,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/dx_zinzai,東京都保健医療局,agency,13,medical,,,,,,2025-08-27T09:04:24.663791+00:00
地域医療確保に係る緊急・臨時支援事業支援金（令和7年度）,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/iryo-kinkyurinji,東京都保健医療局,agency,13,medical,,,,,,2025-08-27T09:04:24.663818+00:00
