title,url,issuer_name,issuer_level,region_code,category,application_start,application_end,amount,subsidy_rate,published_at,fetched_at
「起業スタートダッシュ」 高校生起業家養成プログラム 第5期養成講座の受講生を募集します！,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082704,東京都,prefecture,13,other,,,,,2025-08-27T01:40:00+00:00,2025-08-27T09:04:18.391000+00:00
令和7年度「学童クラブ職員就職相談会」の開催について,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082707,東京都,prefecture,13,other,,,,,2025-08-26T06:51:00+00:00,2025-08-27T09:04:18.392040+00:00
「令和7年度 第2回 復興応援ふるさと市」の開催,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082606,東京都,prefecture,13,other,,,,,2025-08-26T00:58:00+00:00,2025-08-27T09:04:18.392128+00:00
令和7年度障害者週間ポスターの「標語」を募集します 15字で描こう、共に生きる社会,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082716,東京都,prefecture,13,other,,,,,2025-08-27T02:30:00+00:00,2025-08-27T09:04:18.392165+00:00
指定医療機関の行政処分について,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082714,東京都,prefecture,13,medical,,,,,2025-08-27T03:22:00+00:00,2025-08-27T09:04:18.392208+00:00
職場で休職者の復帰を支える皆さまへ 第18回 うつ病休職者の職場復帰支援を考えるフォーラム,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082611,東京都,prefecture,13,other,,,,,2025-08-26T02:28:00+00:00,2025-08-27T09:04:18.392260+00:00
「水素モビリティ体験ツアー」の参加者を募集します！ 水素ハイブリッド電車「HYBARI」に乗車し、走行体験するイベントは初開催,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082605,東京都,prefecture,13,other,,,,,2025-08-26T00:50:00+00:00,2025-08-27T09:04:18.392319+00:00
令和7年度東京都依存症対策普及啓発フォーラム 多様化する現代の依存症 「やめられない」を、ともに考える,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082603,東京都,prefecture,13,other,,,,,2025-08-26T00:20:00+00:00,2025-08-27T09:04:18.392368+00:00
青山創業促進センター 令和7年度下半期アクセラレーションプログラム受講者の募集開始！,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082507,東京都,prefecture,13,other,,,,,2025-08-25T01:16:00+00:00,2025-08-27T09:04:18.392471+00:00
京都府等との連携による商談会等を開催します 令和7年度「地域連携型商談機会創出事業」,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082506,東京都,prefecture,13,other,,,,,2025-08-25T01:51:00+00:00,2025-08-27T09:04:18.392511+00:00
新規事業　事業承継を契機とした「第二創業」支援事業「ツギノツギ」事業開発プログラム（第一期）の公募開始！,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082505,東京都,prefecture,13,other,,,,,2025-08-25T01:37:00+00:00,2025-08-27T09:04:18.392546+00:00
地方独立行政法人東京都健康長寿医療センター監事の任命について,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082503,東京都,prefecture,13,medical,,,,,2025-08-25T00:40:00+00:00,2025-08-27T09:04:18.392583+00:00
「地域とつながる若者フォーラム」を開催 若者からのアイデア募集を開始します！,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082210,東京都,prefecture,13,other,,,,,2025-08-22T03:00:00+00:00,2025-08-27T09:04:18.392627+00:00
家庭のゼロエミッション行動推進事業 「東京ゼロエミポイント」による支援を拡充します！,https://www.metro.tokyo.lg.jp/information/press/2025/08/2025082204,東京都,prefecture,13,other,,,,,2025-08-22T01:46:00+00:00,2025-08-27T09:04:18.392692+00:00
